id;coordX;coordY;floor;type
1;857;2705;1;ENTRY
2;1141;2477;1;NAVIGATION
3;1717;3197;1;NAVIGATION
4;2477;2589;1;NAVIGATION
5;2161;1641;1;NAVIGATION
6;2445;1412;1;NAVIGATION
7;2613;1276;1;ENTRY
8;269;2002;1;SPECIAL
9;481;1126;1;NAVIGATION
10;1233;605;1;NAVIGATION
11;1401;769;1;NAVIGATION
12;1677;837;1;NAVIGATION
13;1885;1065;1;NAVIGATION
14;1989;1389;1;NAVIGATION
15;1481;437;1;NAVIGATION
16;2053;445;1;NAVIGATION
17;2505;445;1;NAVIGATION
18;2761;765;1;NAVIGATION
19;2449;997;1;NAVIGATION
20;2237;1193;1;NAVIGATION
21;1615;1867;2;NAVIGATION
22;1073;2299;2;NAVIGATION
23;769;1917;2;NAVIGATION
24;1454;1361;2;NAVIGATION
25;1695;1154;2;NAVIGATION
26;1930;959;2;NAVIGATION
27;1453;885;2;NAVIGATION
28;1271;1039;2;NAVIGATION
29;1185;779;2;NAVIGATION
30;986;627;2;NAVIGATION
31;769;467;2;NAVIGATION
32;926;369;2;NAVIGATION
33;1329;381;2;NAVIGATION
34;1644;376;2;NAVIGATION
35;1730;97;2;NAVIGATION
36;1957;291;2;NAVIGATION
37;1817;597;2;NAVIGATION
38;1598;764;2;NAVIGATION
39;235;876;2;NAVIGATION
40;231;1217;2;NAVIGATION
41;538;1616;2;NAVIGATION
42;2633;2661;1;SPECIAL
43;1427;2760;1;SPECIAL
44;403;2227;1;SPECIAL
45;2120;1475;1;SPECIAL
46;1995;1545;1;SPECIAL
47;1330;475;1;SPECIAL
48;1625;1855;2;SPECIAL
49;1050;2190;2;SPECIAL
50;475;1705;2;SPECIAL
51;1340;1060;2;SPECIAL
52;1290;1140;2;SPECIAL
53;785;360;2;SPECIAL
54;880;1536;13;NAVIGATION
55;448;1536;13;NAVIGATION
56;880;1080;13;NAVIGATION
57;600;1080;13;NAVIGATION
58;600;1308;13;NAVIGATION
59;600;692;13;NAVIGATION
60;880;692;13;NAVIGATION
61;600;324;13;NAVIGATION
62;204;324;13;NAVIGATION
63;60;324;13;NAVIGATION
64;204;520;13;NAVIGATION
65;2220;1292;12;NAVIGATION
66;1896;1292;12;NAVIGATION
67;1604;1420;12;NAVIGATION
68;1192;736;12;NAVIGATION
69;1224;572;12;NAVIGATION
70;1864;572;12;NAVIGATION
71;1864;416;12;NAVIGATION
72;1224;416;12;NAVIGATION
73;1284;1788;12;NAVIGATION
74;956;1844;12;NAVIGATION
75;956;784;12;NAVIGATION
76;2096;1140;11;SPECIAL
77;1996;1328;11;NAVIGATION
78;1996;172;11;ENTRY
79;1524;1328;11;NAVIGATION
80;1172;728;11;ENTRY
81;880;220;11;NAVIGATION
82;940;752;11;NAVIGATION
83;940;1732;11;NAVIGATION
84;356;1740;11;NAVIGATION
85;1224;204;12;NAVIGATION
86;248;1844;12;NAVIGATION
87;654;495;13;SPECIAL
88;672;621;13;SPECIAL
89;810;1617;13;SPECIAL
90;828;516;12;SPECIAL
91;848;672;12;SPECIAL
92;1080;1976;12;SPECIAL
93;1976;592;12;SPECIAL
94;1840;1284;12;SPECIAL
95;828;516;11;SPECIAL
96;848;672;11;SPECIAL
97;1060;1852;11;SPECIAL
98;1868;584;11;SPECIAL
99;1752;1220;11;SPECIAL
100;85;1572;2;SPECIAL
101;990;2000;14;ENTRY
102;990;1635;14;NAVIGATION
103;1398;1635;14;NAVIGATION
104;1398;1166;14;NAVIGATION
105;1413;1845;14;NAVIGATION
106;2509;1845;14;NAVIGATION
107;1157;721;14;NAVIGATION
108;893;721;14;NAVIGATION
109;1157;465;14;NAVIGATION
110;725;465;14;NAVIGATION
111;2369;465;14;NAVIGATION
112;1353;1648;15;NAVIGATION
113;917;1648;15;NAVIGATION
114;917;1924;15;NAVIGATION
115;317;1924;15;NAVIGATION
116;1353;1932;15;NAVIGATION
117;2549;1932;15;NAVIGATION
118;2549;2124;15;NAVIGATION
119;1161;716;15;NAVIGATION
120;709;716;15;NAVIGATION
121;1161;480;15;NAVIGATION
122;621;480;15;NAVIGATION
123;2397;480;15;NAVIGATION
124;1937;1648;16;NAVIGATION
125;929;1648;16;NAVIGATION
126;929;1924;16;NAVIGATION
127;369;1924;16;NAVIGATION
128;1397;1928;16;NAVIGATION
129;2605;1928;16;NAVIGATION
130;2605;2060;16;NAVIGATION
131;1777;704;16;NAVIGATION
132;829;704;16;NAVIGATION
133;1777;444;16;NAVIGATION
134;613;444;16;NAVIGATION
135;2437;436;16;NAVIGATION
136;1353;1648;17;NAVIGATION
137;917;1648;17;NAVIGATION
138;917;1924;17;NAVIGATION
139;401;1924;17;NAVIGATION
140;1413;1922;17;NAVIGATION
141;2525;1922;17;NAVIGATION
142;2525;2124;17;NAVIGATION
143;1161;736;17;NAVIGATION
144;759;736;17;NAVIGATION
145;1161;520;17;NAVIGATION
146;681;520;17;NAVIGATION
147;2377;520;17;NAVIGATION
148;809;1957;14;SPECIAL
149;2605;1801;14;SPECIAL
150;1385;1497;14;SPECIAL
151;1169;1181;14;SPECIAL
152;1253;817;14;SPECIAL
153;617;389;14;SPECIAL
154;2457;545;14;SPECIAL
155;533;2029;15;SPECIAL
156;2617;1837;15;SPECIAL
157;1329;1545;15;SPECIAL
158;1097;1201;15;SPECIAL
159;1177;801;15;SPECIAL
160;517;369;15;SPECIAL
161;2473;533;15;SPECIAL
162;561;2054;16;SPECIAL
163;2685;1845;16;SPECIAL
164;1357;1493;16;SPECIAL
165;1121;1185;16;SPECIAL
166;1225;829;16;SPECIAL
167;525;341;16;SPECIAL
168;2525;541;16;SPECIAL
169;605;2009;17;SPECIAL
170;2589;1817;17;SPECIAL
171;1357;1505;17;SPECIAL
172;1137;1221;17;SPECIAL
173;1229;873;17;SPECIAL
174;573;437;17;SPECIAL
175;2445;617;17;SPECIAL
176;1101;451;18;NAVIGATION;1
177;987;759;18;NAVIGATION;2
178;987;873;18;NAVIGATION;3
179;1346;916;18;NAVIGATION;4
180;987;953;18;NAVIGATION;5
181;889;953;18;NAVIGATION;6
182;889;1210;18;NAVIGATION;7
183;1683;916;18;NAVIGATION;8
184;1346;1338;18;NAVIGATION;9
185;1683;946;18;NAVIGATION;10
186;2262;946;18;NAVIGATION;11
187;2262;703;18;NAVIGATION;12
188;2262;915;18;NAVIGATION;13
189;2897;915;18;NAVIGATION;14
190;2262;1182;18;NAVIGATION;15
191;2808;1182;18;NAVIGATION;16
192;2262;1339;18;NAVIGATION;17
193;1758;1338;18;NAVIGATION;
194;1234;916;18;NAVIGATION;
195;994;1046;18;SPECIAL;18
196;1212;1038;18;SPECIAL;19
197;2382;1038;18;SPECIAL;20
198;1816;1522;18;SPECIAL;21
199;1750;908;18;SPECIAL;22
200;1831;908;18;SPECIAL;23
201;1117;410;19;NAVIGATION;1
202;1363;471;19;NAVIGATION;2
203;2053;748;19;NAVIGATION;3
204;2053;916;19;NAVIGATION;4
205;2262;916;19;NAVIGATION;5
206;2262;865;19;NAVIGATION;6
207;2691;865;19;NAVIGATION;7
208;2691;1300;19;NAVIGATION;8
209;1331;1300;19;NAVIGATION;9
210;1331;1243;19;NAVIGATION;10
211;1331;916;19;NAVIGATION;11
212;893;1243;19;NAVIGATION;12
213;702;1243;19;NAVIGATION;13
214;921;872;19;NAVIGATION;14
215;989;1005;19;SPECIAL;15
216;1204;1002;19;SPECIAL;16
217;2374;1002;19;SPECIAL;17
218;1817;1491;19;SPECIAL;18
219;1742;871;19;SPECIAL;19
220;1818;871;19;SPECIAL;20
221;910;996;19;NAVIGATION;21
222;1773;916;19;NAVIGATION;22
223;1742;1300;19;NAVIGATION;23
224;1742;1474;19;NAVIGATION;24
225;417;796;19;ENTRY;
226;3122;807;19;ENTRY;
227;838;402;20;NAVIGATION;1
228;1280;402;20;NAVIGATION;2
229;1579;402;20;NAVIGATION;3
230;1661;431;20;NAVIGATION;4
231;2234;431;20;NAVIGATION;5
232;2380;404;20;NAVIGATION;6
233;2637;404;20;NAVIGATION;7
234;2928;404;20;NAVIGATION;8
235;2637;778;20;NAVIGATION;9
236;2234;778;20;NAVIGATION;10
237;2234;832;20;NAVIGATION;11
238;1280;832;20;NAVIGATION;12
239;1280;770;20;NAVIGATION;13
240;838;770;20;NAVIGATION;14
241;927;529;20;SPECIAL;15
