id;lowerFloor;upperFloor
1;42;48
2;43;49
3;44;50
4;45;51
5;46;52
6;47;53
7;95;90
8;95;87
9;90;87
10;96;91
11;96;88
12;91;88
13;97;92
14;97;89
15;92;89
16;98;93
17;99;94
18;8;76
19;65;100
20;148;155
21;148;162
22;148;169
23;155;162
24;155;169
25;162;169
26;149;156
27;149;163
28;149;170
29;156;163
30;156;170
31;163;170
32;150;157
33;150;164
34;150;171
35;157;164
36;157;171
37;164;171
38;151;158
39;151;165
40;151;172
41;158;165
42;158;172
43;165;172
44;152;159
45;152;166
46;152;173
47;159;166
48;159;173
49;166;173
50;153;160
51;153;167
52;153;174
53;160;167
54;160;174
55;167;174
56;154;161
57;154;168
58;154;175
59;161;168
60;161;175
61;168;175
