id;firstPoint;lastPoint;length
1;1;2;
2;2;3;
3;2;5;
4;2;8;
5;3;4;
6;5;6;
7;5;14;
8;8;9;
9;6;7;
10;6;20;
11;14;13;
12;14;20;
13;9;10;
14;20;19;
15;13;12;
16;10;11;
17;10;15;
18;19;16;
19;19;18;
20;12;11;
21;15;16;
22;16;17;
23;17;18;
24;21;22;
25;22;23;
26;23;24;
27;23;41;
28;24;25;
29;24;28;
30;41;40;
31;25;26;
32;28;27;
33;28;29;
34;40;39;
35;27;38;
36;29;30;
37;39;31;
38;38;33;
39;38;37;
40;30;31;
41;31;32;
42;33;34;
43;37;35;
44;34;35;
45;35;36;
46;54;55;
47;54;56;
48;56;57;
49;56;60;
50;60;59;
51;57;58;
52;57;59;
53;59;61;
54;61;62;
55;62;63;
56;62;64;
57;65;66;
58;66;67;
59;67;68;
60;67;73;
61;68;69;
62;68;75;
63;73;74;
64;69;70;
65;69;72;
66;75;74;
67;70;71;
68;72;71;
69;76;77;
70;77;78;
71;77;79;
72;79;80;
73;79;83;
74;80;82;
75;83;82;
76;80;81;
77;83;84;
78;72;85;
79;74;86;
80;41;100;
81;101;102;
82;102;103;
83;103;104;
84;42;4;
85;43;2;
86;44;8;
87;45;5;
88;46;5;
89;47;10;
90;48;21;
91;49;23;
92;50;41;
93;51;28;
94;52;28;
95;53;31;
96;95;80;
97;96;80;
98;97;83;
99;98;76;
100;99;77;
101;90;69;
102;91;69;
103;92;73;
104;93;65;
105;94;66;
106;87;59;
107;88;59;
108;89;54;
109;101;102;
110;102;103;
111;103;104;
112;103;107;
113;104;105;
114;107;108;
115;107;109;
116;105;106;
117;109;110;
118;109;111;
119;112;113;
120;112;116;
121;112;114;
122;116;117;
123;114;115;
124;117;118;
125;112;119;
126;119;120;
127;119;121;
128;121;122;
129;121;123;
130;124;125;
131;124;128;
132;124;131;
133;125;126;
134;128;129;
135;131;132;
136;131;133;
137;126;127;
138;129;130;
139;133;134;
140;133;135;
141;136;137;
142;136;140;
143;136;143;
144;137;138;
145;140;141;
146;143;144;
147;143;145;
148;138;139;
149;141;142;
150;145;146;
151;145;147;
152;148;101;
153;149;106;
154;150;104;
155;151;104;
156;152;107;
157;153;110;
158;154;111;
159;155;115;
160;156;117;
161;157;112;
162;158;112;
163;159;119;
164;160;122;
165;161;123;
166;162;127;
167;163;129;
168;164;124;
169;165;124;
170;166;131;
171;167;134;
172;168;135;
173;169;139;
174;170;141;
175;171;136;
176;172;136;
177;173;143;
178;174;146;
179;175;147;
;;;
id;firstPoint;lastPoint;length
180;176;177;
181;177;178;
182;178;180;
183;180;181;
184;181;182;
185;178;194;
186;194;179;
187;183;185;
188;185;186;
189;186;188;
190;188;187;
191;188;189;
192;186;190;
193;190;191;
194;190;192;
195;192;193;
196;193;184;
197;184;179;
198;179;183;
199;181;195;
200;194;196;
201;183;199;
202;183;200;
203;188;197;
204;193;198;koniec nano0
205;201;202;
206;202;203;
207;203;204;
208;204;205;
209;205;206;
210;206;207;
211;207;208;
212;208;223;
213;223;224;
214;223;209;
215;209;210;
216;210;211;
217;210;212;
218;212;213;
219;212;221;
220;221;214;
221;211;214;
222;211;222;
223;222;204;
224;215;221;
225;211;216;
226;222;219;
227;222;220;
228;224;218;
229;205;217;
230;225;214;
231;201;214;
232;226;207;koniec nano1
233;227;248;
234;248;228;
235;228;229;
236;229;230;
237;230;231;
238;231;232;
239;232;233;
240;233;234;
241;233;235;
242;235;236;
243;231;236;
244;236;237;
245;237;249;
246;249;238;
247;238;239;
248;239;228;
249;239;240;
250;240;247;
251;247;227;
252;241;247;
253;242;248;
254;230;245;
255;230;246;
256;231;243;
257;249;244;koniec nano2
258;250;273;
259;273;251;
260;251;252;
261;252;253;
262;253;254;
263;254;274;
264;274;255;
265;255;256;
266;256;257;
267;257;258;
268;257;259;
269;259;254;
270;259;260;
271;260;261;
272;261;262;
273;261;263;
274;263;264;
275;264;251;
276;264;265;
277;265;272;
278;266;272;
279;267;273;
280;253;270;
281;253;271;
282;274;268;
283;272;250;
284;262;269;koniec nano3
285;275;297;
286;297;276;
287;276;277;
288;277;278;
289;278;279;
290;279;280;
291;280;281;
292;281;282;
293;282;283;
294;283;284;
295;283;285;
296;285;286;
297;285;279;
298;286;298;
299;298;287;
300;287;288;
301;288;289;
302;288;276;
303;289;296;
304;296;275;
305;296;290;
306;297;291;
307;278;294;
308;278;295;
309;281;292;
310;298;293;koniec nano4
