id;lowerFloor;upperFloor;
1;42;48;
2;43;49;
3;44;50;
4;45;51;
5;46;52;
6;47;53;
7;95;90;
8;95;87;
9;90;87;
10;96;91;
11;96;88;
12;91;88;
13;97;92;
14;97;89;
15;92;89;
16;98;93;
17;99;94;
18;8;76;
19;65;100;
20;148;155;
21;148;162;
22;148;169;
23;155;162;
24;155;169;
25;162;169;
26;149;156;
27;149;163;
28;149;170;
29;156;163;
30;156;170;
31;163;170;
32;150;157;
33;150;164;
34;150;171;
35;157;164;
36;157;171;
37;164;171;
38;151;158;
39;151;165;
40;151;172;
41;158;165;
42;158;172;
43;165;172;
44;152;159;
45;152;166;
46;152;173;
47;159;166;
48;159;173;
49;166;173;
50;153;160;
51;153;167;
52;153;174;
53;160;167;
54;160;174;
55;167;174;
56;154;161;
57;154;168;
58;154;175;
59;161;168;
60;161;175;
61;168;175;
;;;
id;lowerFloor;upperFloor;
62;195;215;
63;195;241;
64;195;266;
65;195;290;
66;215;241;
67;215;266;
68;215;290;
69;241;266;
70;241;290;
71;266;290;koniec0
72;196;216;
73;196;242;
74;196;267;
75;196;291;
76;216;242;
77;216;267;
78;216;291;
79;242;267;
80;242;291;
81;267;291;koniec1
82;197;217;
83;197;243;
84;197;268;
85;197;292;
86;217;243;
87;217;268;
88;217;292;
89;243;268;
90;243;292;
91;268;292;koniec2
92;198;218;
93;198;244;
94;198;269;
95;198;293;
96;218;244;
97;218;269;
98;218;293;
99;244;269;
100;244;293;
101;269;293;koniec 4
102;199;219;
103;199;245;
104;199;270;
105;199;294;
106;219;245;
107;219;270;
108;219;294;
109;245;270;
110;245;294;
111;270;294;koniec 5
112;200;220;
113;200;246;
114;200;271;
115;200;295;
116;220;246;
117;220;271;
118;220;295;
119;246;271;
120;246;295;
121;271;295;koniec 6
